module_id,track,title,level,duration_minutes,audience,aim,performance_task,resources
F1,Core Foundations,The Teacher as Researcher: Action Research for Classroom Improvement,All grade tracks,90,K–12 Teachers; Subject Heads; Academic Directors; School Principals,"Transform educators from passive curriculum users into reflective, data-informed classroom designers who use short action-research cycles to improve learning outcomes.",Submit an action-research canvas for one current classroom issue.,Action Research Proposal Canvas; Baseline Data Mini-Tracker; Five-Day Intervention Log; Teacher Reflection Journal Page; Action Research Review Rubric
F2,Core Foundations,"Multi-Tiered Support Systems: General, Intensified and Special Support",All grade tracks,90,K–12 Teachers; SENCOs; Counsellors; Academic Directors; School Leaders,Equip educators to identify learning needs early and apply structured support through a flexible three-tier model adapted for different school contexts.,Create a Tier 2 support plan for a learner with repeated difficulty.,Three-Tier Adaptation Matrix; Support Decision Tree; Tier 2 Four-Week Intervention Log; Language Acquisition vs SEN Reflection Sheet; Parent Support Conversation Template
K1,Early Childhood and Kindergarten,The Pedagogy of Play: Guided Play and Discovery Zones,KG1–KG2 / Ages 4–6,90,KG1 Teachers; KG2 Teachers; Early Childhood Leaders; Coordinators,"Help early childhood educators transform desk-based activities into structured, playful learning environments that develop language, numeracy, executive function and social skills.",Convert one worksheet into a discovery-zone activity.,Discovery Zone Planner; Open-Ended Prompt Bank; Executive Function Observation Checklist; Parent Explanation Handout: Why Play Is Learning; Play-Scaffold Conversion Blueprint
K2,Early Childhood and Kindergarten,Formative Documentation and Joy of Learning,KG1–KG2 / Ages 4–6,90,Early Childhood Educators; Kindergarten Coordinators; Centre Directors,"Train educators to document young children’s learning through photos, child voice, teacher notes and growth conversations instead of comparative grading.",Create a portfolio entry using a sample child observation.,Narrative Documentation Sheet; Child Dictation Prompt Cards; Transversal Skill Tag Guide; Parent Growth Conversation Template; Digital Portfolio Workflow Checklist
P1,Primary Education,Transversal Competences and the 45/15 Cognitive Rhythm,Grades 1–6 / Ages 7–12,90,Primary Teachers; Homeroom Teachers; Vice-Principals; Timetable Officers,"Help primary schools integrate transversal competences while structuring learning blocks to protect focus, movement and recovery.",Submit one adapted morning schedule with competence mapping.,45/15 Timetable Planner; Transversal Competence Mapping Cards; Transition Routine Checklist; Indoor Movement Reset Menu; Leadership Schedule Audit Sheet
P2,Primary Education,Student Autonomy and Formative Self-Assessment,Grades 1–6 / Ages 7–12,90,Primary Teachers; Grade Coordinators; Curriculum Designers,"Train teachers to build student independence through weekly learning contracts, choice pathways and descriptive self-assessment.",Submit a weekly learning contract.,Weekly Learning Contract Template; Student Self-Assessment Rubric Builder; Self-Correction Station Guide; Teacher Conference Script; Autonomy Readiness Checklist
L1,Lower Secondary Education,Phenomenon-Based Learning Design,Grades 7–9 / Ages 13–15,90,Lower Secondary Teachers; Cross-Curricular Teams; Academic Directors,Help teachers design interdisciplinary inquiry modules anchored in real-world phenomena and aligned to subject outcomes.,Submit a PhenoBL project outline.,PhenoBL Inquiry Canvas; Cross-Subject Standards Mapping Sheet; Student Research Question Cards; Group Accountability Rubric; Final Product Planning Template
L2,Lower Secondary Education,Subject-Specific Didactics in High-Trust Environments,Grades 7–9 / Ages 13–15,90,Subject Specialists; Department Heads; Instructional Coaches,Help subject teachers reduce passive lecture time and design high-trust discovery tasks that shift cognitive load to students.,Submit a transformed lesson block.,Teacher Talk-Time Tracker; Cognitive Load Pivot Framework; Guided Inquiry Question Bank; Student Evidence Capture Sheet; Peer Critique Protocol
U1,Upper Secondary Education,Modular Upper Secondary Pathways and Individual Study Planning,Grades 10–12 / Ages 16–18,90,Upper Secondary Teachers; Advisors; Registrars; High School Principals,"Support upper secondary educators in designing modular study pathways, advising systems and student accountability structures.",Submit one modular course plan.,Modular Course Architecture Sheet; Individual Study Plan Template; Advisor Check-In Script; Prerequisite Mapping Chart; Student Milestone Dashboard
E1,Finnish-ESL Hybrid Integration,"EdTech De-Gamification: Starfall, SplashLearn and Low-Stress Stations",ESL / Early Primary,90,Primary ESL Teachers; Technology Integration Specialists; Early Childhood Leaders,"Help ESL teachers use digital platforms as calm, collaborative learning stations connected to physical language practice.",Submit a redesigned EdTech station plan.,Low-Stress Tech Integration Blueprint; ESL Station Rotation Planner; Pair-Talk Prompt Cards; Tactile Phonics Activity Bank; Student Engagement Observation Sheet
E2,Finnish-ESL Hybrid Integration,Syllabus Deconstruction and Mastery Folders: Cambridge and Pearson Alignment,ESL / A2–B2,90,Secondary ESL Teachers; English Department Heads; Academic Coordinators,"Help ESL teachers transform linear coursebook units into student-managed mastery folders aligned to grammar, vocabulary and communicative skill targets.",Convert one ESL unit into mastery targets.,Mastery Tracking Matrix; ESL Skill Target Cards; Self-Verification Key Template; Student Mastery Folder Divider Set; Teacher Validation Checkpoint Sheet
E3,Finnish-ESL Hybrid Integration,Task-Based Sociolinguistic Inquiry: British Council Communicative Goals,ESL / B1–C1,90,Secondary ESL Teachers; Curriculum Architects; Language Programme Directors,"Help teachers turn communicative language outcomes into real-world inquiry projects that build fluency, confidence and local relevance.",Submit one sociolinguistic inquiry plan.,Sociolinguistic Project Planning Sheet; Fieldwork Safety Checklist; Interview Language Scaffold; Signage Analysis Matrix; Formal Recommendation Letter Template
I1,IELTS Scaffolded and Differentiated Preparation,IELTS Formative Diagnostics and Student-Led Goal Setting,IELTS / B1–C1,90,IELTS Teachers; Programme Directors; Academic Performance Analysts,Train IELTS teachers to reduce over-testing and help students use band descriptors and sub-skill diagnostics to set precise improvement goals.,Analyse one sample and create a student goal plan.,IELTS Diagnostic Matrix; Student Error Log; Band Descriptor Student Checklist; Goal-Setting Conference Script; Seven-Day IELTS Micro-Target Planner
I2,IELTS Scaffolded and Differentiated Preparation,Differentiated Productive Skills: Speaking and Writing Scaffolding,IELTS / Band 5.0–7.5+,90,IELTS Teachers; Language Support Specialists; Differentiated Learning Coordinators,"Help IELTS teachers manage mixed-band classes through parallel support, core and extension tasks for speaking and writing.",Create a three-tier IELTS task.,Three-Tier Prompt Matrix; IELTS Sentence Frame Bank; Advanced Grammar Extension Cards; Peer Feedback Checklist; Teacher Circulation Planner
I3,IELTS Scaffolded and Differentiated Preparation,Phenomenon-Based Receptive Skills: IELTS Reading and Listening,IELTS / B1–C1,90,IELTS Reading Teachers; Listening Coaches; Academic Reading Designers,"Move IELTS receptive-skills preparation beyond repetitive test drills by using authentic phenomena, macro-text mapping and vocabulary systems.",Design one phenomenon-based IELTS reading/listening lesson.,Macro-Text Mapping Template; IELTS Question Type Alignment Grid; Academic Vocabulary Extraction Log; Phenomenon Topic Bank; Timed Strategy Reflection Sheet
M1,Implementation and School Leadership,"Annual Implementation, Quality Assurance and Administrative Rollout",School leadership,90,Principals; Academic Directors; Department Heads; Instructional Coaches; School Owners,"Enable school leaders to implement the Finnish Paradigm gradually through infrastructure review, staff training, curriculum activation and quality assurance.",Submit a school implementation roadmap.,Annual Operational Timeline Template; School Readiness Audit; Quality Assurance Walkthrough Form; Teacher Talk-Time Tracker; Implementation Risk Register; Staff Training Rollout Planner
